iter	MultiClass	Accuracy
772	1.000052469	0.8056890505
773	0.9990620673	0.8067281465
774	0.9978885028	0.8062085985
775	0.9974986379	0.8065982595
776	0.9969491386	0.8068580335
777	0.9963615786	0.8069879205
778	0.9956758418	0.8081569035
779	0.9946641816	0.8081569035
780	0.9940301709	0.8084166775
781	0.9930841072	0.8090661125
782	0.9923418453	0.8090661125
783	0.9913366245	0.8099753215
784	0.9904542654	0.8093258865
785	0.9896490207	0.8098454345
786	0.9886847369	0.8099753215
787	0.9876781829	0.8111443045
788	0.9870304692	0.8112741915
789	0.9862825815	0.8116638524
790	0.9854432777	0.8120535134
791	0.9847991185	0.8125730614
792	0.9834971829	0.8132224964
793	0.9827416232	0.8146512534
794	0.9821208327	0.8147811404
795	0.9816347578	0.8150409144
796	0.9811401069	0.8151708014
797	0.9805797699	0.8151708014
798	0.979688164	0.8154305754
799	0.9787179686	0.8163397844
800	0.9773917027	0.8162098974
801	0.9764653513	0.8172489934
802	0.975982585	0.8171191064
803	0.9748563376	0.8177685414
804	0.9743826127	0.8181582024
805	0.9733933169	0.8182880894
806	0.9724027486	0.8190674114
807	0.9716601742	0.8194570723
808	0.9707927864	0.8202363943
809	0.9701530647	0.8202363943
810	0.9689865783	0.8210157163
811	0.9683247007	0.8206260553
812	0.966903072	0.8211456033
813	0.966202803	0.8220548123
814	0.9655308711	0.8221846993
815	0.9642533824	0.8223145863
816	0.9632918992	0.8223145863
817	0.9628561939	0.8229640213
818	0.9617981494	0.8241330043
819	0.9610008	0.8234835693
820	0.9601896417	0.8240031173
821	0.9594733264	0.8249123263
822	0.9585673749	0.8245226653
823	0.9578002396	0.8246525523
824	0.9571254318	0.8253019873
825	0.9565615639	0.8251721003
826	0.9553304115	0.8255617613
827	0.9549203569	0.8251721003
828	0.9545055688	0.8258215353
829	0.9538661676	0.8259514223
830	0.9532102007	0.8259514223
831	0.9528628363	0.8264709703
832	0.9519822664	0.8266008573
833	0.9514690297	0.8269905182
834	0.9505862748	0.8271204052
835	0.9496555786	0.8268606313
836	0.9492074095	0.8273801792
837	0.9486398232	0.8278997272
838	0.9476637254	0.8284192752
839	0.9468162311	0.8286790492
840	0.9457519812	0.8293284842
841	0.9448967399	0.8289388232
842	0.944105917	0.8301078062
843	0.9429956277	0.8314066762
844	0.9424582099	0.8312767892
845	0.9419073876	0.8308871282
846	0.9411050674	0.8317963372
847	0.9403647781	0.8321859982
848	0.9396089715	0.8320561112
849	0.9386651004	0.8328354332
850	0.9378257308	0.8334848682
851	0.9370453819	0.8349136251
852	0.9360704145	0.8356929471
853	0.9351054329	0.8355630601
854	0.9341016999	0.8363423821
855	0.9332456816	0.8368619301
856	0.9324223183	0.8369918171
857	0.9321035585	0.8369918171
858	0.9311081336	0.8366021561
859	0.9303805983	0.8362124951
860	0.9298519522	0.8363423821
861	0.92925752	0.8364722691
862	0.9281274825	0.8371217041
863	0.9277592066	0.8371217041
864	0.9271759844	0.8373814781
865	0.9262778036	0.8382906871
866	0.9256984723	0.8384205741
867	0.9247306716	0.8385504611
868	0.9239349509	0.8395895571
869	0.923347435	0.8395895571
870	0.9229968	0.8399792181
871	0.9223024541	0.8395895571
872	0.9209588069	0.8407585401
873	0.919965105	0.8407585401
874	0.9193626302	0.8421872971
875	0.9183889873	0.8415378621
876	0.9173707042	0.842447071
877	0.9162658646	0.843226393
878	0.915420716	0.842966619
879	0.9147754352	0.843745941
880	0.9135259249	0.844265489
881	0.912761144	0.845304585
882	0.911759831	0.845434472
883	0.9106923968	0.845824133
884	0.9101248582	0.846343681
885	0.9094700509	0.846733342
886	0.9084467765	0.846213794
887	0.9076577834	0.846343681
888	0.9065694887	0.846603455
889	0.9060887275	0.846993116
890	0.9055717015	0.847123003
891	0.9048617981	0.84725289
892	0.9041882666	0.846733342
893	0.9040470359	0.847123003
894	0.9035828065	0.847772438
895	0.9024862824	0.848681647
896	0.9014665057	0.849720743
897	0.901154169	0.849980517
898	0.9007826305	0.8501104039
899	0.8994463429	0.849590856
